Time,Entropy,Fisher_RHS
0,0.729775,3.96832
0.01,0.767962,3.67654
0.02,0.803438,3.42472
0.03,0.836562,3.20519
0.04,0.867628,3.0121
0.05,0.896876,2.84096
0.06,0.924508,2.68822
0.07,0.950692,2.55106
0.08,0.975572,2.42722
0.09,0.999273,2.31485
0.1,1.0219,2.21242
0.11,1.04355,2.11867
0.12,1.0643,2.03255
0.13,1.08422,1.95315
0.14,1.10338,1.87972
0.15,1.12183,1.81161
0.16,1.13963,1.74827
0.17,1.15681,1.68921
0.18,1.17343,1.634
0.19,1.18951,1.58229
0.2,1.20508,1.53376
0.21,1.22019,1.48811
0.22,1.23485,1.4451
0.23,1.2491,1.40451
0.24,1.26295,1.36613
0.25,1.27643,1.3298
0.26,1.28955,1.29535
0.27,1.30234,1.26264
0.28,1.31481,1.23154
0.29,1.32698,1.20193
0.3,1.33885,1.17372
0.31,1.35045,1.1468
0.32,1.36179,1.12109
0.33,1.37288,1.09651
0.34,1.38372,1.07299
0.35,1.39434,1.05045
0.36,1.40473,1.02884
0.37,1.41491,1.00811
0.38,1.42489,0.988197
0.39,1.43467,0.96906
0.4,1.44426,0.950653
0.41,1.45367,0.932936
0.42,1.4629,0.915872
0.43,1.47197,0.899426
0.44,1.48087,0.883566
0.45,1.48962,0.868262
0.46,1.49821,0.853487
0.47,1.50665,0.839213
0.48,1.51496,0.825418
0.49,1.52312,0.812079
0.5,1.53115,0.799174
0.51,1.53904,0.786684
0.52,1.54681,0.77459
0.53,1.55446,0.762876
0.54,1.56199,0.751524
0.55,1.5694,0.740521
0.56,1.57669,0.72985
0.57,1.58388,0.7195
0.58,1.59096,0.709457
0.59,1.59793,0.699709
0.6,1.60479,0.690246
0.61,1.61156,0.681055
0.62,1.61823,0.672128
0.63,1.6248,0.663455
0.64,1.63128,0.655027
0.65,1.63766,0.646835
0.66,1.64396,0.638871
0.67,1.65016,0.631128
0.68,1.65628,0.623597
0.69,1.66232,0.616273
0.7,1.66826,0.609148
0.71,1.67413,0.602216
0.72,1.67992,0.595472
0.73,1.68562,0.588909
0.74,1.69125,0.582521
0.75,1.6968,0.576304
0.76,1.70228,0.570253
0.77,1.70768,0.564363
0.78,1.713,0.558628
0.79,1.71826,0.553045
0.8,1.72344,0.54761
0.81,1.72856,0.542317
0.82,1.7336,0.537164
0.83,1.73858,0.532147
0.84,1.74349,0.527261
0.85,1.74833,0.522503
0.86,1.75311,0.517871
0.87,1.75782,0.51336
0.88,1.76247,0.508967
0.89,1.76705,0.504689
0.9,1.77158,0.500524
0.91,1.77604,0.496469
0.92,1.78044,0.49252
0.93,1.78478,0.488675
0.94,1.78907,0.484931
0.95,1.79329,0.481286
0.96,1.79746,0.477737
0.97,1.80157,0.474282
0.98,1.80562,0.470919
0.99,1.80962,0.467646
1,1.81356,0.464459
1.01,1.81745,0.461357
1.02,1.82129,0.458338
1.03,1.82507,0.4554
1.04,1.8288,0.452541
1.05,1.83247,0.449759
1.06,1.8361,0.447053
1.07,1.83967,0.444419
1.08,1.8432,0.441857
1.09,1.84667,0.439365
1.1,1.8501,0.43694
1.11,1.85347,0.434583
1.12,1.8568,0.43229
1.13,1.86008,0.43006
1.14,1.86332,0.427892
1.15,1.86651,0.425784
1.16,1.86965,0.423735
1.17,1.87274,0.421744
1.18,1.87579,0.419808
1.19,1.8788,0.417927
1.2,1.88176,0.416099
1.21,1.88468,0.414324
1.22,1.88756,0.412598
1.23,1.89039,0.410923
1.24,1.89318,0.409295
1.25,1.89593,0.407715
1.26,1.89864,0.406181
1.27,1.9013,0.404691
1.28,1.90393,0.403245
1.29,1.90652,0.401842
1.3,1.90906,0.40048
1.31,1.91157,0.399158
1.32,1.91404,0.397877
1.33,1.91647,0.396633
1.34,1.91886,0.395427
1.35,1.92122,0.394258
1.36,1.92354,0.393125
1.37,1.92582,0.392026
1.38,1.92806,0.390961
1.39,1.93027,0.389929
1.4,1.93245,0.38893
1.41,1.93459,0.387961
1.42,1.93669,0.387024
1.43,1.93876,0.386116
1.44,1.9408,0.385237
1.45,1.9428,0.384386
1.46,1.94477,0.383563
1.47,1.9467,0.382767
1.48,1.94861,0.381997
1.49,1.95048,0.381252
1.5,1.95232,0.380532
1.51,1.95413,0.379835
1.52,1.95591,0.379163
1.53,1.95765,0.378513
1.54,1.95937,0.377885
1.55,1.96105,0.377279
1.56,1.96271,0.376694
1.57,1.96434,0.37613
1.58,1.96594,0.375585
1.59,1.9675,0.37506
1.6,1.96905,0.374553
1.61,1.97056,0.374065
1.62,1.97204,0.373594
1.63,1.9735,0.373141
1.64,1.97493,0.372704
1.65,1.97633,0.372284
1.66,1.97771,0.371879
1.67,1.97906,0.37149
1.68,1.98038,0.371116
1.69,1.98168,0.370756
1.7,1.98295,0.37041
1.71,1.9842,0.370078
1.72,1.98542,0.36976
1.73,1.98662,0.369454
1.74,1.98779,0.36916
1.75,1.98894,0.368879
1.76,1.99007,0.368609
1.77,1.99117,0.368351
1.78,1.99225,0.368104
1.79,1.99331,0.367867
1.8,1.99434,0.367641
1.81,1.99535,0.367425
1.82,1.99634,0.367218
1.83,1.9973,0.367021
1.84,1.99825,0.366833
1.85,1.99917,0.366653
1.86,2.00007,0.366482
1.87,2.00095,0.36632
1.88,2.00181,0.366165
1.89,2.00265,0.366018
1.9,2.00347,0.365878
1.91,2.00427,0.365745
1.92,2.00504,0.36562
1.93,2.0058,0.365501
1.94,2.00654,0.365388
1.95,2.00726,0.365282
1.96,2.00796,0.365181
1.97,2.00865,0.365086
1.98,2.00931,0.364997
1.99,2.00995,0.364913
